gpu_model_clean,voll_usd_per_mwh_inf_median,voll_reserved_usd_per_mwh_inf_median,instance_type,forward_curve_discount_usd_per_mwh,forward_curve_discount_pct_of_ondemand,gpu_vintage_group,panel_scenario,voll_usd_per_mwh_trng_median,voll_reserved_usd_per_mwh_trng_median
L4,11870.820884905392,7727.984066012234,g6.24xlarge,4142.836818893158,34.89932885906041,Mainstream Modern AI,inf_median,,
L4,10358.126721763085,6742.954015681288,g6.2xlarge,3615.1727060817966,34.90180032733224,Mainstream Modern AI,inf_median,,
L4,11870.820884905392,7727.895148669796,g6.48xlarge,4142.925736235596,34.900077900287634,Mainstream Modern AI,inf_median,,
L4,11263.193735103849,7332.311882873681,g6.4xlarge,3930.881852230168,34.90024183796857,Mainstream Modern AI,inf_median,,
L4,12306.9403714565,8011.974584555229,g6.8xlarge,4294.965786901271,34.898729150119145,Mainstream Modern AI,inf_median,,
L4,9716.286369672824,6325.00301823011,g6.xlarge,3391.283351442714,34.90308151093439,Mainstream Modern AI,inf_median,,
L40S,6882.198609471335,4335.825790371244,g6e.12xlarge,2546.372819100091,36.99940910737091,Mainstream Modern AI,inf_median,,
L40S,14261.622435535475,8984.754376058723,g6e.16xlarge,5276.868059476752,37.00047510953913,Mainstream Modern AI,inf_median,,
L40S,9058.201058201055,5706.649831649831,g6e.24xlarge,3351.5512265512243,37.000185853865744,Mainstream Modern AI,inf_median,,
L40S,6066.287878787878,3821.699134199133,g6e.2xlarge,2244.588744588745,37.001025824004294,Mainstream Modern AI,inf_median,,
L40S,9058.201058201055,5706.649831649831,g6e.48xlarge,3351.5512265512243,37.000185853865744,Mainstream Modern AI,inf_median,,
L40S,7650.114591291061,4819.7097020626425,g6e.4xlarge,2830.404889228418,36.99820251647693,Mainstream Modern AI,inf_median,,
L40S,10318.067897015264,6500.341763499658,g6e.8xlarge,3817.7261335156063,37.00039747383297,Mainstream Modern AI,inf_median,,
L40S,5197.598100823907,3274.4030163385,g6e.xlarge,1923.1950844854068,37.00161203653949,Mainstream Modern AI,inf_median,,
L4,13101.804562478716,8529.111338100101,gr6.4xlarge,4572.693224378614,34.90124740124739,Mainstream Modern AI,inf_median,,
L4,14946.236559139785,9729.960899315738,gr6.8xlarge,5216.275659824047,34.9002616088947,Mainstream Modern AI,inf_median,,
V100,10946.969696969694,6739.267676767675,p3dn.24xlarge,4207.702020202019,38.43713956170704,Transitional / Early AI,inf_median,,
A100,6027.009222661395,3821.118796662274,p4d.24xlarge,2205.8904259991214,36.60008379786498,Mainstream Modern AI,inf_median,,
A100,7533.788976723758,4776.405357927096,p4de.24xlarge,2757.3836187966626,36.6002237030506,Mainstream Modern AI,inf_median,,
H100,9025.318116227205,3898.8915125278754,p5.48xlarge,5126.4266036993295,56.80050872093023,Mainstream Modern AI,inf_median,,
H100,9307.359307359306,4020.5627705627694,p5.4xlarge,5286.796536796536,56.80232558139535,Mainstream Modern AI,inf_median,,
QA100,,,dl2q.24xlarge,3476.0978771673954,36.99979301780047,Mainstream Modern AI,trng_median,9394.911683681736,5918.81380651434
T4,,,g4dn.12xlarge,2440.5464665204927,36.98875255623722,Transitional / Early AI,trng_median,6598.0772474278965,4157.530780907404
T4,,,g4dn.16xlarge,3801.6528925619823,36.994485294117645,Transitional / Early AI,trng_median,10276.269185360092,6474.6162927981095
T4,,,g4dn.2xlarge,2188.1149153876427,36.968085106382986,Transitional / Early AI,trng_median,5918.929555293191,3730.814639905548
T4,,,g4dn.4xlarge,2626.9185360094443,36.96013289036544,Transitional / Early AI,trng_median,7107.438016528924,4480.51948051948
T4,,,g4dn.8xlarge,3168.044077134986,36.99448529411765,Transitional / Early AI,trng_median,8563.557654466744,5395.513577331758
T4,,,g4dn.metal,2441.389779052117,37.0015337423313,Transitional / Early AI,trng_median,6598.0772474278965,4156.68746837578
T4,,,g4dn.xlarge,1841.794569067296,37.0722433460076,Transitional / Early AI,trng_median,4968.122786304603,3126.3282172373074
A10G,,,g5.12xlarge,2343.756980120615,36.99929478138221,Mainstream Modern AI,trng_median,6334.599061871788,3990.842081751173
A10G,,,g5.16xlarge,3720.235659929628,36.99951171874999,Mainstream Modern AI,trng_median,10054.823664184598,6334.58800425497
A10G,,,g5.24xlarge,2829.921111945905,37.000245579567775,Mainstream Modern AI,trng_median,7648.384673178061,4818.463561232156
A10G,,,g5.2xlarge,2137.952956134774,36.996699669967,Mainstream Modern AI,trng_median,5778.766687857596,3640.8137317228216
A10G,,,g5.48xlarge,2829.921111945905,37.000245579567775,Mainstream Modern AI,trng_median,7648.384673178061,4818.463561232156
A10G,,,g5.4xlarge,2525.143577531868,37.0012315270936,Mainstream Modern AI,trng_median,6824.485222019891,4299.341644488023
A10G,,,g5.8xlarge,3076.417978036907,37.001633986928105,Mainstream Modern AI,trng_median,8314.276010415486,5237.858032378579
A10G,,,g5.xlarge,1902.7008605265391,36.99801192842942,Mainstream Modern AI,trng_median,5142.7110846042415,3240.0102240777023
T4G,,,g5g.16xlarge,2893.416927899687,37.00072886297377,Mainstream Modern AI,trng_median,7819.891707039042,4926.474779139355
T4G,,,g5g.2xlarge,1915.4929577464795,36.996402877697854,Mainstream Modern AI,trng_median,5177.511349086253,3262.0183913397736
T4G,,,g5g.4xlarge,2355.5640976359787,37.00483091787439,Mainstream Modern AI,trng_median,6365.558331731692,4009.9942340957136
T4G,,,g5g.8xlarge,2893.131946423483,36.99708454810497,Mainstream Modern AI,trng_median,7819.891707039042,4926.759760615559
T4G,,,g5g.metal,2893.416927899687,37.00072886297377,Mainstream Modern AI,trng_median,7819.891707039042,4926.474779139355
T4G,,,g5g.xlarge,1618.0126244550002,36.999999999999986,Mainstream Modern AI,trng_median,4373.007093121623,2754.994468666623
L4,,,g6.12xlarge,3101.1045029736624,34.900904033379696,Mainstream Modern AI,trng_median,8885.45609021395,5784.351587240287
L4,,,g6.16xlarge,3787.7012865297766,34.90049458313707,Mainstream Modern AI,trng_median,10852.85848172446,7065.157195194683
L4,,,g6.24xlarge,3389.593760912583,34.89932885906041,Mainstream Modern AI,trng_median,9712.489814922592,6322.896054010009
L4,,,g6.2xlarge,2957.868577703288,34.90180032733224,Mainstream Modern AI,trng_median,8474.830954169796,5516.962376466508
L4,,,g6.48xlarge,3389.666511465487,34.900077900287634,Mainstream Modern AI,trng_median,9712.489814922592,6322.823303457105
L4,,,g6.4xlarge,3216.176060915589,34.90024183796855,Mainstream Modern AI,trng_median,9215.340328721326,5999.164267805737
L4,,,g6.8xlarge,3514.0629165555874,34.89872915011916,Mainstream Modern AI,trng_median,10069.3148493735,6555.251932817913
L4,,,g6.xlarge,2774.686378453128,34.903081510934385,Mainstream Modern AI,trng_median,7949.688847914125,5175.002469460997
L40S,,,g6e.12xlarge,2083.3959429000743,36.9994091073709,Mainstream Modern AI,trng_median,5630.889771385638,3547.4938284855634
L40S,,,g6e.16xlarge,4317.437503208257,37.00047510953917,Mainstream Modern AI,trng_median,11668.600174529029,7351.162671320772
L40S,,,g6e.24xlarge,2742.1782762691855,37.00018585386576,Mainstream Modern AI,trng_median,7411.255411255412,4669.077134986226
L40S,,,g6e.2xlarge,1836.481700118064,37.00102582400429,Mainstream Modern AI,trng_median,4963.326446280992,3126.844746162928
L40S,,,g6e.48xlarge,2742.1782762691855,37.00018585386576,Mainstream Modern AI,trng_median,7411.255411255412,4669.077134986226
L40S,,,g6e.4xlarge,2315.785818459615,36.99820251647693,Mainstream Modern AI,trng_median,6259.184665601777,3943.398847142162
L40S,,,g6e.8xlarge,3123.5941092400417,37.00039747383297,Mainstream Modern AI,trng_median,8442.055552103398,5318.461442863357
L40S,,,g6e.xlarge,1573.5232509426055,37.00161203653949,Mainstream Modern AI,trng_median,4252.580264310469,2679.0570133678634
L4,,,gr6.4xlarge,3741.294456309777,34.9012474012474,Mainstream Modern AI,trng_median,10719.658278391677,6978.363822081899
L4,,,gr6.8xlarge,4267.861903492401,34.90026160889471,Mainstream Modern AI,trng_median,12228.739002932549,7960.8770994401475
V100,,,p3dn.24xlarge,3442.665289256198,38.437139561707035,Transitional / Early AI,trng_median,8956.611570247933,5513.946280991735
A100,,,p4d.24xlarge,1804.8194394538268,36.60008379786498,Mainstream Modern AI,trng_median,4931.189363995688,3126.369924541861
A100,,,p4de.24xlarge,2256.0411426518153,36.60022370305061,Mainstream Modern AI,trng_median,6164.009162773985,3907.9680201221695
H100,,,p5.48xlarge,4194.349039390361,56.80050872093023,Mainstream Modern AI,trng_median,7384.351186004077,3190.0021466137164
H100,,,p5.4xlarge,4325.560802833529,56.802325581395344,Mainstream Modern AI,trng_median,7615.112160566705,3289.551357733176
